yankee_total,full_schedule,num_of_times_played,avg_attendance,avg_duration(hrs),highest_attendance,lowest_attendance
Yankees,Angels,4,"33,052",2.25,"34,971","31,034"
Yankees,Astros,3,"38,439",3.00,"47,820","30,003"
Yankees,Athletics,3,"34,389",2.67,"37,396","31,952"
Yankees,Blue Jays,9,"35,369",2.22,"42,141","27,532"
Yankees,Dodgers,3,"31,642",2.67,"32,615","30,254"
Yankees,Giants,3,"42,058",3.33,"46,727","34,143"
Yankees,Indians,3,"38,595",2.33,"39,270","37,264"
Yankees,Mariners,3,"39,320",2.67,"43,856","35,531"
Yankees,Mets,2,"48,246",2.50,"48,339","48,153"
Yankees,Orioles,10,"35,617",2.30,"42,476","31,102"
Yankees,Rangers,4,"36,024",2.75,"39,934","32,373"
Yankees,Rays,10,"36,752",2.30,"46,459","27,631"
Yankees,Red Sox,9,"42,931",2.67,"48,329","35,161"
Yankees,Rockies,2,"37,432",3.00,"40,104","34,760"
Yankees,Royals,4,"36,885",2.50,"41,243","31,226"
Yankees,Tigers,3,"41,845",2.33,"47,474","38,050"
Yankees,Twins,3,"41,185",2.00,"44,808","38,673"
Yankees,White Sox,3,"38,645",2.33,"41,979","34,264"
Yankees,Rays,9,"17,196",2.33,"25,883","12,192"
Yankees,Royals,3,"22,790",3.67,"22,895","22,615"
Yankees,Twins,4,"26,806",3.00,"30,760","23,161"
Yankees,Athletics,4,"24,321",2.25,"28,235","17,456"
Yankees,Orioles,9,"25,013",2.67,"33,170","15,998"
Yankees,White Sox,3,"24,291",2.67,"30,955","20,773"
Yankees,Rangers,3,"31,031",2.00,"35,477","26,163"
Yankees,Diamondbacks,3,"31,941",2.67,"32,718","30,913"
Yankees,Tigers,3,"35,227",2.33,"45,049","28,213"
Yankees,Indians,4,"29,983",3.00,"34,045","23,848"
Yankees,Astros,3,"31,316",2.33,"35,186","28,134"
Yankees,Red Sox,10,"37,359",3.00,"38,161","34,279"
Yankees,Mariners,3,"30,183",2.33,"41,536","24,384"
Yankees,Padres,3,"41,922",2.67,"42,315","41,321"
Yankees,Mets,2,"42,472",2.50,"42,819","42,125"
Yankees,Angels,3,"41,565",2.00,"44,129","40,256"
Yankees,Rockies,2,"43,214",2.50,"46,335","40,093"
Yankees,Blue Jays,10,"38,612",2.40,"47,896","27,938"
,,,,,,
,,teams_played_over_5_times,games over 40000,average_duration,highest attendance,lowest attendance
,,8,9,2.56,"48,339","12,192"
,,,average attendance ,,,
,,,"35,102",,,
